Date,Temperature,casesB,deadB,casesE,deadE,casesT
01/01/2018,8.7,0,0,0,0,0
02/01/2018,4.4,0,0,0,0,0
03/01/2018,4.8,0,0,0,0,0
04/01/2018,6.7,0,0,0,0,0
05/01/2018,7,0,0,0,0,0
06/01/2018,4.9,0,0,0,0,0
07/01/2018,1.5,0,0,0,0,0
08/01/2018,-1.7,0,0,0,0,0
09/01/2018,1.6,0,0,0,0,0
10/01/2018,2.4,0,0,0,0,0
11/01/2018,2.4,0,0,0,0,0
12/01/2018,1.6,0,0,0,0,0
13/01/2018,0.2,0,0,0,0,0
14/01/2018,-1.7,0,0,0,0,0
15/01/2018,0,0,0,0,0,0
16/01/2018,2.7,0,0,0,0,0
17/01/2018,1.4,0,0,0,0,0
18/01/2018,2.5,0,0,0,0,0
19/01/2018,2.4,0,0,0,0,0
20/01/2018,1.3,0,0,0,0,0
21/01/2018,0.2,0,0,0,0,0
22/01/2018,0.3,0,0,0,0,0
23/01/2018,1.8,0,0,0,0,0
24/01/2018,8.4,0,0,0,0,0
25/01/2018,9,0,0,0,0,0
26/01/2018,6.7,0,0,0,0,0
27/01/2018,5.7,0,0,0,0,0
28/01/2018,7.4,0,0,0,0,0
29/01/2018,9.6,0,0,0,0,0
30/01/2018,4.9,0,0,0,0,0
31/01/2018,5,0,0,0,0,0
01/02/2018,4.1,0,0,0,0,0
02/02/2018,2.3,0,0,0,0,0
03/02/2018,1.3,0,0,0,0,0
04/02/2018,-0.2,0,0,0,0,0
05/02/2018,-0.9,0,0,0,0,0
06/02/2018,-3.3,0,0,0,0,0
07/02/2018,-1.7,0,0,0,0,0
08/02/2018,-3.1,0,0,0,0,0
09/02/2018,-2.6,0,0,0,0,0
10/02/2018,0.1,0,0,0,0,0
11/02/2018,1.7,0,0,0,0,0
12/02/2018,1.8,0,0,0,0,0
13/02/2018,0.6,0,0,0,0,0
14/02/2018,-1.1,0,0,0,0,0
15/02/2018,-0.5,0,0,0,0,0
16/02/2018,3.4,0,0,0,0,0
17/02/2018,2.4,0,0,0,0,0
18/02/2018,2.5,0,0,0,0,0
19/02/2018,1.6,0,0,0,0,0
20/02/2018,0.1,0,0,0,0,0
21/02/2018,0,0,0,0,0,0
22/02/2018,-0.1,0,0,0,0,0
23/02/2018,-3.1,0,0,0,0,0
24/02/2018,-2.6,0,0,0,0,0
25/02/2018,-5.1,0,0,0,0,0
26/02/2018,-5.9,0,0,0,0,0
27/02/2018,-7.7,0,0,0,0,0
28/02/2018,-8.9,0,0,0,0,0
01/03/2018,-8.6,0,0,0,0,0
02/03/2018,-8.3,0,0,0,0,0
03/03/2018,-7.1,0,0,0,0,0
04/03/2018,-2.9,0,0,0,0,0
05/03/2018,2.4,0,0,0,0,0
06/03/2018,1,0,0,0,0,0
07/03/2018,1.4,0,0,0,0,0
08/03/2018,4.4,0,0,0,0,0
09/03/2018,4.9,0,0,0,0,0
10/03/2018,4.7,0,0,0,0,0
11/03/2018,10.4,0,0,0,0,0
12/03/2018,8.4,0,0,0,0,0
13/03/2018,9.2,0,0,0,0,0
14/03/2018,4,0,0,0,0,0
15/03/2018,2.9,0,0,0,0,0
16/03/2018,0,0,0,0,0,0
17/03/2018,-3.1,0,0,0,0,0
18/03/2018,-2.5,0,0,0,0,0
19/03/2018,-1.4,0,0,0,0,0
20/03/2018,-1.5,0,0,0,0,0
21/03/2018,1.2,0,0,0,0,0
22/03/2018,2.2,0,0,0,0,0
23/03/2018,2.8,0,0,0,0,0
24/03/2018,3.2,0,0,0,0,0
25/03/2018,4.8,0,0,0,0,0
26/03/2018,6,0,0,0,0,0
27/03/2018,4,0,0,0,0,0
28/03/2018,1.3,0,0,0,0,0
29/03/2018,4.9,0,0,0,0,0
30/03/2018,5.2,0,0,0,0,0
31/03/2018,3.4,0,0,0,0,0
01/04/2018,1.5,0,0,0,0,0
02/04/2018,4.5,0,0,0,0,0
03/04/2018,11.7,0,0,0,0,0
04/04/2018,15.5,0,0,0,0,0
05/04/2018,10.8,0,0,0,0,0
06/04/2018,7.1,0,0,0,0,0
07/04/2018,11.9,0,0,0,0,0
08/04/2018,14.7,0,0,0,0,0
09/04/2018,14.5,0,0,0,0,0
10/04/2018,17.3,0,0,0,0,0
11/04/2018,14.6,0,0,0,0,0
12/04/2018,16.2,0,0,0,0,0
13/04/2018,16.2,0,0,0,0,0
14/04/2018,13.1,0,0,0,0,0
15/04/2018,15,0,0,0,0,0
16/04/2018,12.5,0,0,0,0,0
17/04/2018,13.4,0,0,0,0,0
18/04/2018,16,0,0,0,0,0
19/04/2018,17.6,0,0,0,0,0
20/04/2018,19.7,0,0,0,0,0
21/04/2018,17.3,0,0,0,0,0
22/04/2018,16.1,0,0,0,0,0
23/04/2018,17.8,0,0,0,0,0
24/04/2018,13,0,0,0,0,0
25/04/2018,13.1,0,0,0,0,0
26/04/2018,9.4,0,0,0,0,0
27/04/2018,10.8,0,0,0,0,0
28/04/2018,15.1,0,0,0,0,0
29/04/2018,17.7,0,0,0,0,0
30/04/2018,17.3,0,0,0,0,0
01/05/2018,13.1,0,0,0,0,0
02/05/2018,10.4,0,0,0,0,0
03/05/2018,14.3,0,0,0,0,0
04/05/2018,12.1,0,0,0,0,0
05/05/2018,12.7,0,0,0,0,0
06/05/2018,15,0,0,0,0,0
07/05/2018,17.3,0,0,0,0,0
08/05/2018,18.8,0,0,0,0,0
09/05/2018,20,0,0,0,0,0
10/05/2018,20.2,0,0,0,0,0
11/05/2018,14.4,0,0,0,0,0
12/05/2018,16.6,0,0,0,0,0
13/05/2018,20.3,0,0,0,0,0
14/05/2018,19.3,0,0,0,0,0
15/05/2018,15.5,0,0,0,0,0
16/05/2018,16.4,0,0,0,0,0
17/05/2018,16.9,0,0,0,0,0
18/05/2018,12.5,0,0,0,0,0
19/05/2018,16.1,0,0,0,0,0
20/05/2018,15.9,0,0,0,0,0
21/05/2018,17.4,0,0,0,0,0
22/05/2018,18.5,0,0,0,0,0
23/05/2018,19.3,0,0,0,0,0
24/05/2018,20,0,0,0,0,0
25/05/2018,20.9,0,0,0,0,0
26/05/2018,20.1,0,0,0,0,0
27/05/2018,20.4,0,0,0,0,0
28/05/2018,24.3,0,0,0,0,0
29/05/2018,25.7,0,0,0,0,0
30/05/2018,24.3,0,0,0,0,0
31/05/2018,24.5,0,0,0,0,0
01/06/2018,24,0,0,0,0,0
02/06/2018,21.4,0,0,0,0,0
03/06/2018,20.1,0,0,0,0,0
04/06/2018,21.3,0,0,0,0,0
05/06/2018,18.4,0,0,0,0,0
06/06/2018,18.1,0,0,0,0,0
07/06/2018,20.3,0,0,0,0,0
08/06/2018,23.3,0,0,0,0,0
09/06/2018,25.2,0,0,0,0,0
10/06/2018,22.6,0,0,0,0,0
11/06/2018,19.8,0,0,0,0,0
12/06/2018,17,0,0,0,0,0
13/06/2018,15.7,0,0,0,0,0
14/06/2018,17.8,0,0,0,0,0
15/06/2018,18.8,0,0,0,0,0
16/06/2018,22,0,0,0,0,0
17/06/2018,22,0,0,0,0,0
18/06/2018,19.6,0,0,0,0,0
19/06/2018,21.3,0,0,0,0,0
20/06/2018,22,0,0,0,0,0
21/06/2018,18.3,0,0,0,0,0
22/06/2018,13.8,0,0,0,0,0
23/06/2018,13.9,0,0,0,0,0
24/06/2018,13.1,0,0,0,0,0
25/06/2018,16,0,0,0,0,0
26/06/2018,17,0,0,0,0,0
27/06/2018,19.3,0,0,0,0,0
28/06/2018,21.9,0,0,0,0,0
29/06/2018,22.2,0,0,0,0,0
30/06/2018,17.2,0,0,0,0,0
01/07/2018,16.7,0,0,0,0,0
02/07/2018,17.6,0,0,0,0,0
03/07/2018,20.7,0,0,0,0,0
04/07/2018,23.8,0,0,0,0,0
05/07/2018,24.4,0,0,0,0,0
06/07/2018,19.3,0,0,0,0,0
07/07/2018,19.2,0,0,0,0,0
08/07/2018,20.2,0,0,0,0,0
09/07/2018,20.1,0,0,0,0,0
10/07/2018,16.7,0,0,0,0,0
11/07/2018,18,0,0,0,0,0
12/07/2018,16.9,0,0,0,0,0
13/07/2018,20.1,0,0,0,0,0
